"ID Ocorrencia","Data","Hora","Logradouro","Bairro","Natureza","Coordenadas","F1P","F2P","F3P","F4P","F5P","F6P","F7P","F8P","C1P","C2P","C3P","C4P","C5P","C6P","C7P","C8P","C9P","C10P"
"180051","2018-12-05","21:40","rua catigua proximo ao radar e ao poste /0","jardim paulo coelho machado","colisão frontal",,,,"8",,,,,,,,,,,,,,,
"180052","2018-08-29","09:23","avenida prefeito ludio martins coelho    ",,"colisão transversal",,,,,,,,,,,,,,"10",,,,,
"180053","2018-09-24","07:55","rua treze de maio ","centro","atropelamento",,,,,,,,,,,,"10",,,,,,,
"180054","2018-04-08","16:40","avenida gury marques    ","jardim monumento","colisão transversal",,"6",,,,,,,,,,"8",,,,,,,
"180055","2018-06-15","05:06","rua marechal candido mariano rondom ","centro","colisão frontal",,"8","10",,,,,,,,,,,,,,,,
"180056","2018-04-08","10:32","rua dom antonio barbosa    ","manoel taveira","colisão transversal",,"10",,,,,,,,,,,,,,,,,
"180057","2018-03-30","02:10","rua fraiburgo proximo a rua minas novas","vila cidade morena","choque",,,,,,,,,,,,,,,,,,,
"180058","2018-04-21","19:54","rua xavantes    ","jardim tijuca","atropelamento",,,,,,,,,,,,,,,,,,,
"180059","2018-07-24","07:20","avenida gury marques ","universitario","colisão lateral",,,,,,,,,,,,,,,"8",,,,
"180060","2018-08-04","21:25","avenida mascarenhas de moraes proximo a rua pedro americo","monte castelo","colisão frontal",,,,,,,,,,,,,,,,,,,
"180061","2018-05-05","18:57","rua fraiburgo ","vila cidade morena","colisão traseira",,,,,,,,,,,,,,,,,,,
"180062","2018-11-13","18:15","rua planalto    ","jardim tv morena","colisão transversal",,,,,,,,,,,"8",,,"10",,,,,
"180063","2018-04-26","23:51","rua ceara ","chacara cachoeira","atropelamento",,"10","6",,,,,,,,,,,,,,,,
"180064","2018-11-04","23:54","avenida duque de caxias    ","vila popular","queda",,"8",,"6",,,,,,,"10",,,,,,,,
"180065","2018-05-06","13:25","rua doutor euler de azevedo /rua joaquim lacerda","conjunto jose abrao","colisão lateral",,"10",,,,,,,,,,,,,,,,,
"180066","2018-05-21","10:20","rua prefeito ludio martins coelho    ",,"colisão transversal",,,,,,,,,,,,,,"10",,,,,
"180067","2018-09-13","18:47","rua temininos    ","jardim leblon","colisão transversal",,,,,,,,,,,,,,"10",,,,,
"180068","2018-07-22","10:44","avenida gualter barbosa    ","nova lima","colisão transversal",,,,,,,,,,,,,,,,"10",,,
