CD_MUN,NM_MUN,pc_iluminacao,classe_ilu,tx_atropelamento,classe_obt,classe_bivariada
3545407,Salto Grande,97.0,Média,21.7108119843682,Alta,Média_Alta
3542404,Regente Feijó,94.56,Média,19.4505227327984,Média,Média_Média
3521101,Ipeúna,98.83,Alta,0.0,Baixa,Alta_Baixa
3505104,Barbosa,95.11,Média,35.3419332037462,Alta,Média_Alta
3508702,Caconde,91.8,Baixa,11.5834588208039,Média,Baixa_Média
3505401,Barra do Turvo,90.16,Baixa,57.7867668303958,Alta,Baixa_Alta
3546108,Santa Clara d'Oeste,100.0,Alta,0.0,Baixa,Alta_Baixa
3534906,Pacaembu,90.23,Baixa,6.57159755536571,Baixa,Baixa_Baixa
3503703,Ariranha,93.92,Média,13.0667712008363,Média,Média_Média
3556958,Vitória Brasil,92.0,Baixa,0.0,Baixa,Baixa_Baixa
3532900,Nova Europa,98.34,Alta,21.143884131515,Média,Alta_Média
3502408,Anhumas,96.85,Média,0.0,Baixa,Média_Baixa
3507753,Brejo Alegre,93.82,Baixa,0.0,Baixa,Baixa_Baixa
3532058,Motuca,91.19,Baixa,0.0,Baixa,Baixa_Baixa
3517208,Guaiçara,87.21,Baixa,17.4535299764377,Média,Baixa_Média
3542503,Reginópolis,98.19,Alta,0.0,Baixa,Alta_Baixa
3517505,Guapiaçu,96.66,Média,13.4432694031188,Média,Média_Média
3500600,Águas de São Pedro,94.25,Média,0.0,Baixa,Média_Baixa
3519907,Iepê,94.55,Média,12.9215660938106,Média,Média_Média
3514601,Dumont,98.51,Alta,41.1564975820558,Alta,Alta_Alta
3537206,Pedro de Toledo,86.06,Baixa,8.66626224109542,Média,Baixa_Média
3514957,Embaúba,98.37,Alta,0.0,Baixa,Alta_Baixa
3519006,Herculândia,90.49,Baixa,10.7503762631692,Média,Baixa_Média
3517901,Guaraci,92.57,Baixa,18.9717321191425,Média,Baixa_Média
3507308,Boracéia,95.8,Média,0.0,Baixa,Média_Baixa
3511904,Clementina,97.55,Alta,14.110342881332,Média,Alta_Média
